paceName,opt
instance001.gr ,1086
instance002.gr ,626
instance003.gr ,41350
instance004.gr ,54160
instance005.gr ,764269099
instance006.gr ,129175
instance007.gr ,20437
instance008.gr ,21245
instance009.gr ,75952202
instance010.gr ,21211
instance011.gr ,20492
instance012.gr ,97400
instance013.gr ,584948
instance014.gr ,358989
instance015.gr ,1341
instance016.gr ,95908
instance017.gr ,73033178
instance018.gr ,52925
instance019.gr ,70446493
instance020.gr ,74604990
instance021.gr ,74070
instance022.gr ,10883190
instance023.gr ,3509275
instance024.gr ,253620
instance025.gr ,22481625
instance026.gr ,8779590
instance027.gr ,10
instance028.gr ,30236
instance029.gr ,20401
instance030.gr ,13429
instance031.gr ,1225
instance032.gr ,64323
instance033.gr ,28803
instance034.gr ,2306
instance035.gr ,114650399
instance036.gr ,116927089
instance037.gr ,160586161
instance038.gr ,2248390
instance039.gr ,53301
instance040.gr ,21265372
instance041.gr ,295208
instance042.gr ,529890
instance043.gr ,2500540
instance044.gr ,2400623
instance045.gr ,25700
instance046.gr ,25217
instance047.gr ,115277351
instance048.gr ,119035256
instance049.gr ,116609813
instance050.gr ,4069628
instance051.gr ,471589
instance052.gr ,2854
instance053.gr ,409
instance054.gr ,1801464
instance055.gr ,2200557
instance056.gr ,2100522
instance057.gr ,2000271
instance058.gr ,28652
instance059.gr ,2386
instance060.gr ,116833323
instance061.gr ,8500739
instance062.gr ,155581203
instance063.gr ,160124233
instance064.gr ,161324201
instance065.gr ,3194670
instance066.gr ,17564659
instance067.gr ,39067
instance068.gr ,56217
instance069.gr ,86268
instance070.gr ,73
instance071.gr ,75176630
instance072.gr ,2800466
instance073.gr ,2146
instance074.gr ,4802220
instance075.gr ,4901968
instance076.gr ,514
instance077.gr ,19825626
instance078.gr ,3601
instance079.gr ,25210
instance080.gr ,1600208
instance081.gr ,513
instance082.gr ,2900484
instance083.gr ,3200554
instance084.gr ,7003022
instance085.gr ,161674316
instance086.gr ,160758467
instance087.gr ,162664661
instance088.gr ,164150
instance089.gr ,131895
instance090.gr ,605
instance091.gr ,3300655
instance092.gr ,115558198
instance093.gr ,1490972006
instance094.gr ,164110997
instance095.gr ,164685074
instance096.gr ,161248138
instance097.gr ,227886471
instance098.gr ,88001175
instance099.gr ,162100435
instance100.gr ,165984329
instance101.gr ,230200846
instance102.gr ,7501020
instance103.gr ,320137
instance104.gr ,162978810
instance105.gr ,160756854
instance106.gr ,229267101
instance107.gr ,7068
instance108.gr ,7122
instance109.gr ,2300376
instance110.gr ,84009
instance111.gr ,231605619
instance112.gr ,234318491
instance113.gr ,4354
instance114.gr ,4199
instance115.gr ,2700441
instance116.gr ,2800379
instance117.gr ,4401504
instance118.gr ,39335
instance119.gr ,39335
instance120.gr ,4301508
instance121.gr ,780
instance122.gr ,229965775
instance123.gr ,227807756
instance124.gr ,17980523
instance125.gr ,6923
instance126.gr ,7243
instance127.gr ,2200394
instance128.gr ,1601190
instance129.gr ,3100635
instance130.gr ,3600596
instance131.gr ,594
instance132.gr ,4701318
instance133.gr ,7602040
instance134.gr ,164009591
instance135.gr ,228031092
instance136.gr ,230945623
instance137.gr ,228330602
instance138.gr ,231028456
instance139.gr ,230904712
instance140.gr ,6930
instance141.gr ,3800606
instance142.gr ,3000526
instance143.gr ,4500728
instance144.gr ,3600610
instance145.gr ,3300513
instance146.gr ,4100695
instance147.gr ,5001625
instance148.gr ,5501952
instance149.gr ,5301351
instance150.gr ,7102320
instance151.gr ,3400525
instance152.gr ,2700502
instance153.gr ,6201016
instance154.gr ,6001782
instance155.gr ,750
instance156.gr ,7402046
instance157.gr ,7501712
instance158.gr ,227745838
instance159.gr ,230535806
instance160.gr ,230837
instance161.gr ,79714
instance162.gr ,108740
instance163.gr ,2600484
instance164.gr ,3100526
instance165.gr ,2500828
instance166.gr ,2403332
instance167.gr ,580
instance168.gr ,6902328
instance169.gr ,508
instance170.gr ,6102210
instance171.gr ,3903734
instance172.gr ,6900841
instance173.gr ,45852
instance174.gr ,7202807
instance175.gr ,8883
instance176.gr ,506
instance177.gr ,5901592
instance178.gr ,6808
instance179.gr ,806
instance180.gr ,6401996
instance181.gr ,5801466
instance182.gr ,5602299
instance183.gr ,6001164
instance184.gr ,7964
instance185.gr ,230639115
instance186.gr ,25529856
instance187.gr ,2103283
instance188.gr ,6801753
instance189.gr ,3000569
instance190.gr ,3900450
instance191.gr ,56207
instance192.gr ,4000758
instance193.gr ,914
instance194.gr ,3800656
instance195.gr ,1244
instance196.gr ,1017
instance197.gr ,111005
instance198.gr ,716174280
instance199.gr ,3700485
instance200.gr ,3400646
