paceName,lower,upper
instance001.gr ,2256,2256
instance002.gr ,15076,15076
instance003.gr ,17803,17803
instance004.gr ,23765,23765
instance005.gr ,21757,21757
instance006.gr ,27684,27684
instance007.gr ,45018,45018
instance008.gr ,20678,20678
instance009.gr ,15841596,15841596
instance010.gr ,13309487,13309487
instance011.gr ,31696,31696
instance012.gr ,50559,50559
instance013.gr ,5616,5616
instance014.gr ,68,75
instance015.gr ,124,125
instance016.gr ,14171206,14171206
instance017.gr ,17560,17560
instance018.gr ,39832,39832
instance019.gr ,55608,55608
instance020.gr ,6001164,6001164
instance021.gr ,82,92
instance022.gr ,15437,15582
instance023.gr ,151,153
instance024.gr ,6201016,6201016
instance025.gr ,94,98
instance026.gr ,16893,17199
instance027.gr ,6400931,6400931
instance028.gr ,6600922,6600922
instance029.gr ,6700776,6700776
instance030.gr ,3912,3912
instance031.gr ,99,111
instance032.gr ,18636,18826
instance033.gr ,182,185
instance034.gr ,7501020,7501020
instance035.gr ,7601028,7601028
instance036.gr ,20183,20270
instance037.gr ,7801094,7801094
instance038.gr ,7900444,7900444
instance039.gr ,21517,21517
instance040.gr ,21415,21415
instance041.gr ,18088,18088
instance042.gr ,17987,17987
instance043.gr ,8000849,8000849
instance044.gr ,16296,16296
instance045.gr ,16228,16228
instance046.gr ,15648,15648
instance047.gr ,15649,15649
instance048.gr ,32584,32584
instance049.gr ,8300906,8300906
instance050.gr ,8401094,8401094
instance051.gr ,8500739,8500739
instance052.gr ,86000746,86000746
instance053.gr ,88001175,88001175
instance054.gr ,4699474,4699474
instance055.gr ,91000866,91000866
instance056.gr ,92000764,92000764
instance057.gr ,94001181,94001181
instance059.gr ,96001172,96001172
instance060.gr ,2265834,2265834
instance061.gr ,98001224,98001224
instance062.gr ,99001097,99001097
instance063.gr ,9693,9693
instance064.gr ,3492405,3492405
instance065.gr ,4292,4292
instance066.gr ,56061,56061
instance067.gr ,30854904,30854904
instance068.gr ,176,180
instance069.gr ,34515,35227
instance070.gr ,335,342
instance071.gr ,42548,42548
instance072.gr ,42768,42768
instance073.gr ,35535,35535
instance074.gr ,35249,35532
instance075.gr ,31991,31991
instance076.gr ,31994,31994
instance077.gr ,31068,31068
instance078.gr ,31081,31081
instance079.gr ,99560,99560
instance080.gr ,122467,122467
instance081.gr ,3484028,3484028
instance082.gr ,4797441,4797441
instance083.gr ,24305,24526
instance084.gr ,231,233
instance085.gr ,22561,22843
instance086.gr ,216,219
instance087.gr ,112564,112564
instance088.gr ,51313,51313
instance089.gr ,12239,12239
instance090.gr ,55339,56799
instance091.gr ,537,549
instance092.gr ,317,327
instance093.gr ,62167,63491
instance094.gr ,29961,30242
instance095.gr ,287,292
instance096.gr ,34763,35326
instance097.gr ,331,337
instance098.gr ,80628079,80628079
instance099.gr ,85566290,85566290
instance100.gr ,91509264,91509264
instance101.gr ,107617854,107617854
instance102.gr ,95722094,95722094
instance103.gr ,5313548,5313548
instance104.gr ,106470644,106470644
instance105.gr ,507,507
instance106.gr ,6721180,6721180
instance107.gr ,105944062,105944062
instance108.gr ,105720727,105720727
instance109.gr ,105173465,105173465
instance110.gr ,109739695,109739695
instance111.gr ,118893243,118893243
instance112.gr ,59266,59797
instance113.gr ,568,575
instance114.gr ,147407632,147407632
instance115.gr ,135161583,135161583
instance116.gr ,23881,23881
instance117.gr ,12507877,12507877
instance118.gr ,174219813,174219813
instance119.gr ,689,689
instance120.gr ,150506933,150506933
instance121.gr ,279512692,279512692
instance122.gr ,144164924,144164924
instance123.gr ,146515460,146515460
instance124.gr ,166249692,166249692
instance125.gr ,175540750,175540750
instance126.gr ,134461857,134461857
instance127.gr ,165573383,165573383
instance128.gr ,165115148,165115148
instance129.gr ,177909660,177909660
instance130.gr ,9175622,9175622
instance131.gr ,185525490,185525490
instance132.gr ,217647693,217647693
instance133.gr ,201788202,201788202
instance134.gr ,35459,35459
instance135.gr ,247527679,247527679
instance136.gr ,193190339,193190339
instance137.gr ,11256303,11256303
instance138.gr ,7325530,7325530
instance139.gr ,207889674,207889674
instance140.gr ,232790758,232790758
instance141.gr ,294811505,294811505
instance142.gr ,289019226,289019226
instance143.gr ,228330602,228330602
instance144.gr ,230639115,230639115
instance145.gr ,230535806,230535806
instance146.gr ,230904712,230904712
instance147.gr ,6849423,6849423
instance148.gr ,117408,119492
instance149.gr ,1126,1144
instance150.gr ,253921201,253921201
instance151.gr ,337290460,337290460
instance152.gr ,305024188,305024188
instance153.gr ,321646787,321646787
instance154.gr ,382539099,382539099
instance155.gr ,420730046,420730046
instance156.gr ,412746415,412746415
instance157.gr ,459801704,459801704
instance158.gr ,399809303,399809303
instance159.gr ,414440370,414440370
instance160.gr ,431498867,431498867
instance161.gr ,384053191,384053191
instance162.gr ,663004987,663004987
instance163.gr ,13300990,13300990
instance164.gr ,463887832,463887832
instance165.gr ,13155210,13155210
instance166.gr ,232907,236080
instance167.gr ,2233,2256
instance168.gr ,15187538,15187538
instance169.gr ,492193565,492193565
instance170.gr ,532131412,532131412
instance171.gr ,578284709,578284709
instance172.gr ,504526035,504526035
instance173.gr ,627187559,627187559
